Warehouse_Index,Customer_Index,Distance_km
44,78,818.417
14,54,2674.83
30,9,1551.498
8,40,2608.814
2,71,
45,39,1012.203
28,45,1243.436
11,30,3147.002
25,24,1794.77
27,96,2495.51
22,18,2963.381
9,78,1642.15
7,40,2499.37
9,18,2332.278
2,7,
34,35,2345.927
15,9,229.871
22,26,2118.677
48,14,1905.364
27,20,945.762
23,24,684.128
22,56,
14,94,927.301
40,71,2551.89
4,54,1895.618
11,13,1110.815
24,0,780.042
10,91,2447.758
38,56,
28,91,1209.864
11,64,3382.937
47,62,1478.243
27,56,
18,40,2380.243
37,9,505.408
0,74,2822.632
44,51,3279.467
32,77,
24,13,2268.319
9,75,2968.807
23,70,2621.731
21,35,1691.633
38,57,2168.913
11,0,3045.124
45,43,
15,33,2233.356
31,77,1981.971
23,81,2190.344
22,46,2217.06
0,88,1515.406
36,56,
11,88,3269.353
11,82,2329.002
12,33,
6,72,
34,25,1322.958
8,41,
37,33,2545.395
30,25,1336.404
31,49,1837.424
44,57,1111.732
26,83,3505.394
17,69,2579.921
37,7,1970.829
11,57,2596.283
39,69,1563.87
4,74,1524.838
10,17,1565.776
20,33,1720.933
22,60,1251.544
35,20,746.216
12,21,
47,75,2319.345
7,25,1409.468
32,73,
11,45,1875.915
26,53,1064.416
33,95,2998.165
13,77,2242.605
1,24,2298.092
49,70,1997.968
25,20,1910.339
44,70,2718.782
8,45,882.583
30,15,1437.076
36,48,2645.27
10,59,
38,65,
23,38,1243.573
21,33,2426.035
49,15,3272.52
44,28,661.178
29,17,
6,32,
40,36,1547.47
1,25,1341.547
48,95,2327.271
7,10,651.654
24,69,2250.465
25,41,
29,41,
40,99,2731.223
3,14,1410.02
10,94,995.451
42,42,3976.86
35,31,2628.65
17,28,739.25
0,99,2779.029
4,56,
43,84,2212.344
8,75,3900.941
17,50,
13,64,2522.269
23,97,806.606
39,80,1168.233
10,54,2680.636
5,6,1646.298
14,39,1078.546
29,16,
16,14,
9,15,2932.658
12,37,
38,78,1412.053
44,29,1894.308
17,15,1188.423
20,69,2450.023
34,48,416.835
29,26,
36,21,
20,62,2724.495
31,79,2148.531
45,79,733.185
4,41,
21,52,1493.178
0,29,2100.659
40,43,
27,37,1907.332
29,12,
41,41,
5,74,2832.135
40,21,
15,95,775.052
37,93,2993.11
39,17,990.404
27,58,1178.053
40,38,2278.747
14,42,2340.543
39,32,1058.33
7,9,2440.415
46,23,1450.56
47,76,1635.809
9,73,2318.355
29,84,
47,9,1077.23
35,4,1000.261
36,7,1326.51
28,43,
43,72,1082.096
46,93,2219.131
28,51,1306.673
30,73,1672.964
23,99,2366.027
21,19,818.776
18,70,1488.398
36,61,1431.509
19,33,2996.102
12,49,
2,11,
49,68,1637.702
37,23,1472.449
6,57,
43,65,
45,95,1758.889
19,39,2968.093
6,2,
24,34,2648.355
32,43,
14,19,588.188
49,16,
21,4,1203.83
39,20,867.058
20,76,963.385
3,45,3133.231
5,0,497.348
24,60,2001.957
43,94,1626.263
35,38,1177.944
40,58,1854.771
16,89,
20,68,2367.263
9,92,970.749
11,77,893.859
30,41,
32,5,
30,57,1967.725
44,4,2213.475
32,93,
34,13,1202.106
31,40,255.998
14,72,2143.349
